Name,CustomerID,SiteName,SiteID
VK Sales Cincy,177,VK Sales,177
VK Service,397,VK Service,397
Voorhees Siding & Window,179,Voorhees,179
VYN-ALL,272,VYN-ALL,272
"Walts, Scott",859,"Walts, Scott",859
Washington NC HA,972,Washington,972
"WAYNE CRAFT, INC.",184,WAYNE CRAFT,184
Wayne Garage Door Sales,207,Wayne Garage,207
Weather Cartersville,"1,006",Weather Cartersville,"1,006"
Weather Chat,"1,041",Weather Chat,"1,041"
Weather Cleveland,993,Weather Cleveland,993
Weather Johnson City,"1,000",Weather Johnson City,"1,000"
Welty Custom Ext,588,Welty,588
Wengerd Windows,349,WEN,349
Western/Garner,"1,128",WCS Garner,"1,128"
Western/Johnson City,"1,126",WCS JC,"1,126"
Wheeler's Renovations,882,Wheeler's,882
WILLIAMS CONST. & REMODELING,186,Williams,186
Williams Window Sales,591,Williams Window,591
WILLIAMSON HOME REMODELING,185,Williamson,185
Window &  Door Designs,710,WDD,710
Window City,913,Window City,913
Window Man VA Beach,517,Wdw Man VA Beach,517
Window Planet,"1,105",Window Planet,"1,105"
Window Specialists,589,Window Special,589
Windows & More,410,Windows,410
Windows in a Week,456,Windows in a Week,456
Windows Siding & More,"1,071",WSM,"1,071"
"Windows, Doors & More",782,WDM,782
Windowspan,339,Span,339
"WISSMAN DOOR SALES, INC",204,WISS,204
Woodford Window,218,Wood,218
Xterior Plus,978,Xterior Plus,978
ZALESKI'S ALUM. & VINYL OUTLET,187,ZALESKI'S,187
